Cohort (Total births),Diagonal Line for Calendar Year,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1936,1950,5.8,19.4,42.5,81.5,129.6,174.8,222,248.7,256.1,255.5,246.8,228.8,204.7,180.7,159.8,130.6,105.1,86.5,71.2,61.8,51.8,40.5,29.6,21.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1937,1951,6,18.9,43.5,82.7,129.8,183.7,227.2,246,256.5,255.8,243.9,220.6,196.9,174.5,143.7,118.3,97.9,82.2,70.8,60.2,47.2,34.8,26.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1938,1952,5.7,19.1,44.6,82.3,136.5,187.8,224.6,248,256.4,252,234.3,211.7,189.1,157.2,130,110.3,93,81.9,70,54.9,41.1,31.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1939,1953,5.8,20.1,44.7,87.2,140.5,186.3,228,247,253.3,242.9,225.6,203.3,171.3,143.7,123.5,107.1,94.6,82.6,65,48.8,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940,1954,6.3,19.9,46.8,89.3,138.1,187.6,224.2,243.2,244.5,232.9,215.3,183.5,157.4,137.1,121.1,109.4,96,76.5,57.4,44.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941,1955,6.1,20.9,47.9,86.3,136.1,181.9,219.1,234.2,232.9,221.4,193.7,170.7,151.1,135.3,123.7,111.3,89.6,67.9,53.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1942,1956,6.2,20.8,45.4,83.7,131.2,176.4,210,222.5,220.3,198.5,181.3,164.6,149.6,139.1,126.4,104,79.6,63.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1943,1957,6.1,19.5,43.8,80.2,127.1,169.1,200.5,209.8,197.1,186.2,174.1,161.2,151.7,140.6,117.8,92.1,74.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1944,1958,5.8,19.3,42.6,79.1,122.6,163.3,190.3,188.9,185.6,178.2,168.7,162.5,153.2,130.9,104.7,87.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1945,1959,6,19.2,42.3,76.3,119,155.3,172,177.9,175.9,170.5,168,163,142.1,116.1,99.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
