"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
1960,49,1911,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,48,1912,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1961,49,1912,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,47,1913,0.6,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.3
1961,48,1913,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1962,49,1913,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,46,1914,1.5,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.6
1961,47,1914,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.3
1962,48,1914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1963,49,1914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1960,45,1915,2.9,0.1,0.2,0.3,0.4,0.3,0.3,0.3,1.0
1961,46,1915,1.4,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.5
1962,47,1915,0.5,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2
1963,48,1915,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1964,49,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,44,1916,5.6,0.2,0.4,0.7,0.7,0.7,0.6,0.5,1.8
1961,45,1916,2.9,0.1,0.2,0.3,0.3,0.4,0.3,0.3,1.0
1962,46,1916,1.4,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.5
1963,47,1916,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
1964,48,1916,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1965,49,1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,43,1917,9.5,0.4,0.7,1.2,1.3,1.2,1.0,0.8,2.9
1961,44,1917,5.5,0.2,0.4,0.6,0.7,0.7,0.6,0.5,1.8
1962,45,1917,2.8,0.1,0.2,0.3,0.4,0.3,0.3,0.2,1.0
1963,46,1917,1.2,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.5
1964,47,1917,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2
1965,48,1917,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1966,49,1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,42,1918,14.5,0.7,1.2,1.9,2.1,1.9,1.5,1.2,4.0
1961,43,1918,9.5,0.4,0.7,1.1,1.3,1.3,1.0,0.8,2.9
1962,44,1918,5.3,0.2,0.4,0.6,0.7,0.6,0.6,0.4,1.8
1963,45,1918,2.6,0.1,0.2,0.3,0.3,0.3,0.2,0.2,1.0
1964,46,1918,1.2,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.5
1965,47,1918,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1966,48,1918,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1967,49,1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,41,1919,21.2,1.0,1.8,2.9,3.3,2.9,2.3,1.7,5.3
1961,42,1919,14.6,0.6,1.1,1.8,2.2,2.0,1.6,1.3,4.0
1962,43,1919,9.2,0.4,0.6,1.0,1.3,1.2,1.0,0.8,2.9
1963,44,1919,5.2,0.2,0.4,0.6,0.6,0.7,0.5,0.4,1.8
1964,45,1919,2.5,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.9
1965,46,1919,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.5
1966,47,1919,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1967,48,1919,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1968,49,1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,40,1920,29.2,1.4,2.6,4.2,4.8,4.1,3.1,2.4,6.6
1961,41,1920,21.3,1.0,1.7,2.9,3.3,2.9,2.3,1.8,5.4
1962,42,1920,14.1,0.6,1.1,1.7,2.1,1.9,1.5,1.2,4.0
1963,43,1920,9.0,0.3,0.6,1.0,1.2,1.2,1.0,0.8,2.9
1964,44,1920,5.1,0.2,0.3,0.5,0.7,0.6,0.6,0.4,1.8
1965,45,1920,2.4,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.9
1966,46,1920,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.5
1967,47,1920,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1968,48,1920,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1969,49,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,39,1921,38.8,2.0,3.6,5.9,6.6,5.4,4.1,3.1,8.1
1961,40,1921,29.2,1.4,2.5,4.1,4.7,4.1,3.2,2.4,6.8
1962,41,1921,20.3,0.9,1.6,2.6,3.1,2.8,2.2,1.7,5.4
1963,42,1921,13.7,0.6,1.0,1.6,1.9,1.9,1.5,1.2,4.0
1964,43,1921,8.7,0.4,0.5,0.9,1.2,1.1,1.0,0.8,2.8
1965,44,1921,4.7,0.2,0.3,0.5,0.6,0.6,0.5,0.4,1.6
1966,45,1921,2.4,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.9
1967,46,1921,0.9,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.4
1968,47,1921,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1969,48,1921,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1970,49,1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,38,1922,47.1,2.5,4.7,7.7,8.2,6.7,4.9,3.6,8.8
1961,39,1922,38.0,1.9,3.5,5.6,6.2,5.4,4.2,3.1,8.1
1962,40,1922,27.1,1.2,2.3,3.7,4.3,3.8,3.0,2.3,6.5
1963,41,1922,19.5,0.8,1.5,2.5,2.9,2.8,2.2,1.7,5.1
1964,42,1922,12.9,0.6,0.8,1.5,1.8,1.7,1.5,1.1,3.9
1965,43,1922,7.9,0.4,0.5,0.9,1.0,1.0,0.9,0.7,2.5
1966,44,1922,4.4,0.2,0.2,0.4,0.6,0.6,0.5,0.4,1.5
1967,45,1922,2.2,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.8
1968,46,1922,0.8,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3
1969,47,1922,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1970,48,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,49,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,37,1923,56.2,3.1,6.0,9.6,10.2,8.0,5.8,4.1,9.4
1961,38,1923,46.5,2.3,4.5,7.3,7.9,6.8,5.1,3.6,9.0
1962,39,1923,35.8,1.7,3.1,5.2,5.8,5.1,3.9,3.0,8.0
1963,40,1923,26.2,1.2,2.1,3.5,4.1,3.7,3.0,2.2,6.4
1964,41,1923,18.9,1.0,1.3,2.4,2.8,2.6,2.2,1.6,5.0
1965,42,1923,12.1,0.6,0.8,1.4,1.7,1.7,1.4,1.0,3.5
1966,43,1923,7.5,0.3,0.5,0.8,1.0,0.9,0.9,0.7,2.4
1967,44,1923,4.1,0.2,0.2,0.4,0.6,0.5,0.4,0.4,1.4
1968,45,1923,1.9,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.7
1969,46,1923,0.7,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.3
1970,47,1923,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1971,48,1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,49,1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,36,1924,66.0,3.8,7.6,11.9,12.3,9.5,6.6,4.6,9.7
1961,37,1924,56.0,2.9,5.7,9.3,9.9,8.2,6.0,4.3,9.7
1962,38,1924,44.4,2.1,4.1,6.8,7.5,6.5,4.9,3.6,8.9
1963,39,1924,34.9,1.6,2.9,5.0,5.6,5.0,4.0,2.9,7.9
1964,40,1924,26.0,1.3,2.0,3.4,4.0,3.6,3.0,2.2,6.5
1965,41,1924,17.6,0.9,1.3,2.1,2.6,2.5,2.0,1.5,4.7
1966,42,1924,11.1,0.5,0.7,1.2,1.6,1.5,1.3,1.0,3.3
1967,43,1924,6.9,0.3,0.4,0.7,1.0,0.9,0.7,0.6,2.3
1968,44,1924,3.7,0.2,0.2,0.4,0.5,0.4,0.4,0.4,1.2
1969,45,1924,1.8,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
1970,46,1924,0.8,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3
1971,47,1924,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1972,48,1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,49,1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,35,1925,77.1,4.7,9.4,14.7,14.6,11.0,7.5,5.1,10.1
1961,36,1925,66.1,3.6,7.2,11.6,12.0,9.7,6.9,4.8,10.3
1962,37,1925,53.5,2.7,5.2,8.6,9.3,7.9,5.8,4.2,9.8
1963,38,1925,43.2,2.1,3.8,6.4,7.1,6.4,4.9,3.5,9.0
1964,39,1925,34.3,1.8,2.8,4.7,5.5,4.8,3.8,2.9,8.0
1965,40,1925,24.2,1.2,1.9,3.0,3.7,3.5,2.8,2.1,6.0
1966,41,1925,16.1,0.8,1.2,1.9,2.3,2.2,1.9,1.4,4.4
1967,42,1925,10.2,0.4,0.7,1.1,1.5,1.4,1.1,0.9,3.1
1968,43,1925,6.2,0.3,0.4,0.6,0.8,0.8,0.7,0.6,2.0
1969,44,1925,3.3,0.1,0.2,0.3,0.4,0.5,0.4,0.3,1.1
1970,45,1925,1.6,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.6
1971,46,1925,0.7,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.3
1972,47,1925,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1973,48,1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,49,1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,34,1926,88.0,5.6,11.4,17.5,17.1,12.4,8.3,5.6,10.1
1961,35,1926,76.5,4.4,8.8,14.2,14.3,11.0,7.8,5.4,10.6
1962,36,1926,62.6,3.3,6.4,10.6,11.3,9.3,6.8,4.7,10.2
1963,37,1926,51.6,2.5,4.9,8.0,8.9,7.7,5.8,4.1,9.7
1964,38,1926,42.3,2.3,3.6,6.0,7.0,6.1,4.7,3.5,9.1
1965,39,1926,31.9,1.7,2.6,4.3,5.0,4.5,3.6,2.7,7.5
1966,40,1926,21.8,1.1,1.6,2.8,3.3,3.0,2.5,1.9,5.6
1967,41,1926,14.7,0.7,1.1,1.8,2.2,2.0,1.6,1.3,4.0
1968,42,1926,9.3,0.5,0.7,1.0,1.2,1.2,1.1,0.9,2.7
1969,43,1926,5.6,0.2,0.4,0.6,0.7,0.8,0.6,0.5,1.8
1970,44,1926,3.1,0.1,0.2,0.3,0.4,0.4,0.4,0.3,1.0
1971,45,1926,1.4,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.5
1972,46,1926,0.5,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.2
1973,47,1926,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1974,48,1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,49,1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,33,1927,100.0,6.8,13.8,20.9,19.6,13.8,9.1,6.0,10.0
1961,34,1927,87.8,5.2,10.7,17.0,16.7,12.7,8.7,6.0,10.8
1962,35,1927,73.1,4.1,8.0,13.0,13.4,10.8,7.7,5.3,10.8
1963,36,1927,60.8,3.1,6.2,10.0,10.9,9.1,6.7,4.7,10.1
1964,37,1927,50.6,2.8,4.6,7.7,8.7,7.4,5.6,4.1,9.7
1965,38,1927,39.0,2.2,3.3,5.5,6.3,5.7,4.4,3.2,8.4
1966,39,1927,28.8,1.5,2.3,3.9,4.5,4.0,3.3,2.5,6.8
1967,40,1927,19.8,1.0,1.6,2.6,3.0,2.7,2.2,1.8,4.9
1968,41,1927,13.3,0.8,1.0,1.5,1.9,1.8,1.5,1.2,3.6
1969,42,1927,8.5,0.4,0.6,1.0,1.1,1.2,1.0,0.7,2.5
1970,43,1927,5.0,0.2,0.3,0.5,0.7,0.6,0.6,0.5,1.6
1971,44,1927,2.4,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.9
1972,45,1927,1.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5
1973,46,1927,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2
1974,47,1927,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1975,48,1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,49,1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,32,1928,111.9,8.1,16.7,24.6,22.1,15.0,9.7,6.3,9.4
1961,33,1928,99.9,6.4,13.0,20.2,19.5,14.2,9.6,6.4,10.6
1962,34,1928,83.6,4.9,9.7,15.6,15.8,12.3,8.6,5.8,10.9
1963,35,1928,70.6,3.8,7.6,12.3,13.1,10.5,7.6,5.2,10.5
1964,36,1928,59.4,3.5,5.8,9.5,10.5,8.8,6.5,4.7,10.1
1965,37,1928,46.5,2.7,4.2,6.9,7.9,6.8,5.2,3.7,9.1
1966,38,1928,35.2,2.0,3.0,5.0,5.7,5.1,3.9,3.0,7.5
1967,39,1928,25.8,1.3,2.1,3.6,4.1,3.6,2.9,2.3,5.9
1968,40,1928,18.1,1.1,1.5,2.3,2.7,2.5,2.0,1.6,4.4
1969,41,1928,12.0,0.6,1.0,1.4,1.7,1.7,1.4,1.0,3.2
1970,42,1928,7.8,0.4,0.6,0.8,1.1,1.0,0.9,0.7,2.3
1971,43,1928,4.4,0.2,0.3,0.4,0.5,0.6,0.5,0.4,1.5
1972,44,1928,2.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.8
1973,45,1928,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.4
1974,46,1928,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
1975,47,1928,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1976,48,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,49,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,31,1929,128.8,10.3,20.8,29.4,25.2,16.7,10.6,6.7,9.1
1961,32,1929,114.1,7.8,16.0,24.3,22.7,15.8,10.5,6.7,10.3
1962,33,1929,97.2,5.9,12.2,18.9,18.7,14.1,9.7,6.5,11.2
1963,34,1929,82.2,4.6,9.4,15.1,15.6,12.2,8.6,5.8,10.9
1964,35,1929,69.9,4.3,7.3,11.9,12.8,10.3,7.5,5.3,10.5
1965,36,1929,55.0,3.3,5.3,8.7,9.7,8.2,6.1,4.2,9.5
1966,37,1929,42.6,2.5,3.9,6.4,7.2,6.3,4.7,3.5,8.1
1967,38,1929,32.7,1.7,2.9,4.7,5.3,4.7,3.8,2.8,6.8
1968,39,1929,24.1,1.5,2.1,3.2,3.7,3.4,2.7,2.1,5.4
1969,40,1929,16.9,0.9,1.5,2.1,2.6,2.4,1.9,1.4,4.1
1970,41,1929,11.4,0.6,0.9,1.3,1.6,1.6,1.3,1.0,3.1
1971,42,1929,6.7,0.3,0.5,0.7,0.9,0.9,0.7,0.6,2.1
1972,43,1929,4.0,0.2,0.3,0.4,0.5,0.5,0.4,0.4,1.3
1973,44,1929,2.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.8
1974,45,1929,1.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.4
1975,46,1929,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1976,47,1929,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1977,48,1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,49,1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,30,1930,145.2,12.7,25.7,34.7,28.1,18.0,11.2,6.8,8.0
1961,31,1930,129.2,9.7,19.8,29.0,25.8,17.3,11.1,6.9,9.6
1962,32,1930,110.1,7.2,15.0,22.8,21.6,15.6,10.5,6.8,10.6
1963,33,1930,95.3,5.7,11.6,18.4,18.5,14.0,9.7,6.4,11.0
1964,34,1930,81.1,5.2,9.1,14.5,15.2,11.9,8.6,5.9,10.7
1965,35,1930,64.5,4.0,6.7,10.8,11.7,9.6,7.0,4.8,9.9
1966,36,1930,50.1,3.1,5.0,8.0,8.7,7.5,5.5,3.9,8.4
1967,37,1930,39.0,2.2,3.7,5.9,6.6,5.7,4.4,3.2,7.3
1968,38,1930,29.8,1.9,2.7,4.2,4.8,4.3,3.4,2.4,6.1
1969,39,1930,22.1,1.2,2.0,2.9,3.5,3.2,2.5,1.9,4.9
1970,40,1930,15.8,0.9,1.3,1.9,2.4,2.3,1.8,1.4,3.8
1971,41,1930,9.8,0.5,0.8,1.2,1.3,1.3,1.1,0.9,2.7
1972,42,1930,5.9,0.3,0.5,0.6,0.8,0.7,0.7,0.5,1.8
1973,43,1930,3.4,0.2,0.2,0.3,0.4,0.4,0.4,0.3,1.2
1974,44,1930,1.8,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.6
1975,45,1930,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.4
1976,46,1930,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1977,47,1930,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1978,48,1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,49,1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,29,1931,164.2,15.9,31.9,40.5,31.2,19.2,11.7,6.8,7.0
1961,30,1931,146.0,12.0,24.4,34.4,28.9,18.7,11.8,7.1,8.7
1962,31,1931,124.4,8.9,18.3,27.2,24.6,17.2,11.3,7.1,9.8
1963,32,1931,107.6,6.9,14.2,22.0,21.3,15.5,10.4,6.8,10.5
1964,33,1931,93.6,6.2,11.2,17.7,18.0,13.5,9.7,6.5,10.8
1965,34,1931,74.5,4.8,8.2,13.4,13.9,11.1,7.8,5.3,10.0
1966,35,1931,58.2,3.7,6.2,9.9,10.4,8.6,6.2,4.4,8.8
1967,36,1931,46.0,2.7,4.7,7.4,8.2,6.8,5.1,3.5,7.6
1968,37,1931,36.1,2.4,3.6,5.4,6.0,5.3,4.1,2.8,6.5
1969,38,1931,27.6,1.6,2.7,3.9,4.5,4.1,3.0,2.3,5.5
1970,39,1931,21.0,1.2,1.8,2.8,3.3,3.1,2.4,1.8,4.6
1971,40,1931,13.7,0.8,1.2,1.7,2.0,1.8,1.6,1.2,3.4
1972,41,1931,8.7,0.5,0.7,1.0,1.2,1.2,1.0,0.8,2.3
1973,42,1931,5.5,0.3,0.4,0.6,0.7,0.7,0.6,0.5,1.7
1974,43,1931,3.1,0.2,0.2,0.3,0.4,0.4,0.3,0.3,1.0
1975,44,1931,1.6,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.6
1976,45,1931,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
1977,46,1931,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1978,47,1931,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1979,48,1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,49,1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,28,1932,180.2,19.7,38.7,45.9,33.3,19.6,11.4,6.2,5.4
1961,29,1932,162.9,14.9,30.1,39.9,31.6,20.0,12.1,6.9,7.4
1962,30,1932,138.8,10.9,22.5,32.1,27.5,18.4,11.8,7.1,8.5
1963,31,1932,120.6,8.7,17.4,26.0,24.0,17.0,11.0,6.9,9.6
1964,32,1932,103.7,7.4,13.5,20.9,20.3,14.8,10.2,6.6,10.0
1965,33,1932,84.9,5.8,10.3,16.1,16.3,12.4,8.6,5.7,9.7
1966,34,1932,66.8,4.5,7.7,12.0,12.3,9.8,6.9,4.8,8.8
1967,35,1932,53.1,3.3,5.9,9.1,9.7,7.8,5.7,3.9,7.7
1968,36,1932,42.3,3.0,4.4,6.8,7.4,6.2,4.7,3.1,6.7
1969,37,1932,33.1,2.0,3.4,5.0,5.6,4.9,3.6,2.7,5.9
1970,38,1932,26.2,1.6,2.5,3.7,4.3,3.9,2.9,2.2,5.1
1971,39,1932,18.5,1.1,1.7,2.4,2.8,2.6,2.2,1.6,4.1
1972,40,1932,12.0,0.7,1.1,1.5,1.7,1.6,1.4,1.1,2.9
1973,41,1932,7.8,0.5,0.7,0.9,1.0,1.0,0.9,0.7,2.1
1974,42,1932,4.7,0.3,0.4,0.5,0.6,0.6,0.5,0.4,1.4
1975,43,1932,2.8,0.2,0.2,0.2,0.3,0.4,0.3,0.2,1.0
1976,44,1932,1.7,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.6
1977,45,1932,0.9,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3
1978,46,1932,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1979,47,1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,48,1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,49,1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,27,1933,198.3,25.0,47.1,51.1,35.2,19.5,10.8,5.5,4.1
1961,28,1933,179.7,18.6,36.8,45.2,34.0,20.6,12.0,6.6,5.9
1962,29,1933,155.7,13.6,27.7,37.4,30.6,19.8,12.1,7.0,7.5
1963,30,1933,134.3,10.7,21.4,30.6,26.8,18.1,11.4,6.9,8.4
1964,31,1933,116.5,9.0,16.6,25.0,23.0,16.2,10.7,6.7,9.3
1965,32,1933,94.7,6.9,12.7,19.2,18.4,13.5,9.2,5.9,8.9
1966,33,1933,75.7,5.5,9.4,14.6,14.3,10.9,7.5,5.0,8.5
1967,34,1933,61.1,4.0,7.4,11.1,11.6,8.8,6.3,4.3,7.6
1968,35,1933,49.4,3.6,5.7,8.5,8.9,7.1,5.3,3.5,6.8
1969,36,1933,39.8,2.6,4.4,6.5,7.1,5.9,4.3,3.0,6.0
1970,37,1933,31.7,2.0,3.3,4.9,5.4,4.7,3.5,2.5,5.4
1971,38,1933,23.1,1.4,2.3,3.3,3.7,3.4,2.6,1.9,4.5
1972,39,1933,15.9,1.0,1.5,2.1,2.4,2.3,1.8,1.4,3.4
1973,40,1933,10.6,0.7,1.0,1.3,1.5,1.5,1.2,0.9,2.5
1974,41,1933,6.8,0.4,0.7,0.8,0.9,0.9,0.7,0.6,1.8
1975,42,1933,4.4,0.3,0.4,0.4,0.5,0.6,0.5,0.4,1.3
1976,43,1933,2.8,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.9
1977,44,1933,1.5,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.5
1978,45,1933,0.8,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3
1979,46,1933,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1980,47,1933,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1981,48,1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,49,1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,26,1934,218.1,32.4,57.6,56.3,35.9,18.9,9.7,4.5,2.8
1961,27,1934,198.6,24.0,45.6,50.9,35.8,20.8,11.4,5.7,4.4
1962,28,1934,174.4,17.7,34.9,43.2,33.4,20.6,12.1,6.5,6.0
1963,29,1934,152.2,13.6,27.1,36.2,29.9,19.4,11.8,6.9,7.3
1964,30,1934,131.1,11.4,20.8,29.8,25.9,17.4,11.0,6.6,8.2
1965,31,1934,106.9,8.6,16.0,23.1,20.9,14.6,9.6,6.0,8.1
1966,32,1934,85.3,6.7,11.8,17.5,16.4,11.9,8.0,5.1,7.9
1967,33,1934,70.2,5.0,9.3,13.7,13.5,10.0,6.8,4.6,7.3
1968,34,1934,56.9,4.4,7.1,10.7,10.6,8.1,5.7,3.7,6.6
1969,35,1934,47.4,3.3,5.7,8.4,8.7,7.0,4.9,3.3,6.1
1970,36,1934,38.1,2.5,4.3,6.4,6.8,5.7,4.0,2.8,5.6
1971,37,1934,28.8,1.8,3.1,4.4,4.9,4.3,3.2,2.3,4.8
1972,38,1934,20.4,1.3,2.2,3.0,3.3,2.9,2.3,1.6,3.8
1973,39,1934,14.2,0.9,1.5,2.0,2.1,2.0,1.6,1.2,2.9
1974,40,1934,9.4,0.6,1.0,1.2,1.4,1.2,1.0,0.8,2.2
1975,41,1934,6.3,0.4,0.6,0.7,0.8,0.9,0.7,0.6,1.6
1976,42,1934,4.3,0.3,0.4,0.5,0.5,0.5,0.5,0.4,1.2
1977,43,1934,2.4,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.7
1978,44,1934,1.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.5
1979,45,1934,0.7,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2
1980,46,1934,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1981,47,1934,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1982,48,1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,49,1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,25,1935,238.7,42.6,69.3,60.2,35.7,17.5,8.2,3.4,1.8
1961,26,1935,217.6,31.5,55.7,55.8,36.6,20.1,10.2,4.7,3.0
1962,27,1935,192.8,23.1,43.4,48.8,35.3,20.6,11.4,5.7,4.5
1963,28,1935,169.3,17.3,34.0,41.8,32.4,20.1,11.5,6.4,5.8
1964,29,1935,148.5,14.5,26.4,35.3,28.8,18.6,11.4,6.5,7.0
1965,30,1935,119.1,10.7,19.9,27.3,23.1,15.3,9.9,5.9,7.0
1966,31,1935,96.0,8.5,14.8,21.0,18.5,12.8,8.4,5.0,7.0
1967,32,1935,79.0,6.1,11.6,16.6,15.5,10.9,7.1,4.6,6.6
1968,33,1935,65.4,5.5,9.2,13.1,12.4,9.0,6.0,3.9,6.3
1969,34,1935,55.3,4.0,7.3,10.6,10.5,8.0,5.5,3.5,5.9
